genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage
YGL104C		VPS73	NaN	1	1000	2	0	0	0
YDR456W		NHX1	NaN	1	1000	2	0	0	0
YDR038C	Q12691	ENA5	120.29497	1	1000	2	0	4.44952638192191e-07	1.20970868431857e-08
YDR039C	Q01896	ENA2	120.31602	1	1000	2	0	4.44952638191385e-07	0
YDR040C	P13587	ENA1	120.35609	1	1000	2	0	4.44952638191462e-07	0
YKL127W	P33401	PGM1	63.11105	1	501.095437286164	2	0	0.000480561581983564	0
YMR105C	P37012	PGM2	63.08769	1	402.698353861212	2	0	0.000480739828155553	1.13139014075332e-06
YPL262W	P08417	FUM1	53.15125	1	348.425944564942	2	2.02769119181173e-07	0.000569465878316658	2.02769560405555e-07
YBR296C		PHO89	NaN	1	110.805827209594	2	0	0	0
YCR037C		PHO87	NaN	1	110.805827209594	2	0	0	0
YJL198W		PHO90	NaN	1	110.805827209594	2	0	0	0
YML123C		PHO84	NaN	1	110.805827209594	2	0	0	0
YNR013C		PHO91	NaN	1	110.805827209594	2	0	0	0
YGR061C	P38972	ADE6	148.90358	2	100.243135923968	2	4.10149923985642e-05	4.10150319459209e-05	4.10149923985643e-05
YAR015W	P27616	ADE1	34.60299	2	100.243135923968	2	2.68460775317666e-06	2.68461034221908e-06	2.68460775317665e-06
YDR408C	P04161	ADE8	23.53994	2	100.243135923968	2	2.77123069163567e-05	2.77123336421747e-05	2.77123069163567e-05
YGL234W	P07244	ADE5,7	86.06721	2	100.243135923968	2	5.93835148207644e-05	5.93835720903744e-05	5.93835148207643e-05
YMR300C	P04046	ADE4	56.71874	2	100.243135923968	2	3.73728184542182e-06	3.73728544966576e-06	3.73728184542181e-06
YOR128C	P21264	ADE2	62.33875	2	100.243135923968	2	5.19605941739947e-06	5.19606442849215e-06	5.19605941739947e-06
YLR028C	P54113	ADE16	65.28175	1	53.9171183888376	2	0	0.000511922593061256	0
YMR120C	P38009	ADE17	65.26269	1	53.9171183888376	2	0	0.000512072414039075	4.84529343533506e-05
YBL068W	P38063	PRS4	35.71972	1	30.0545705669833	2	0	0.000317005326610879	0
YER099C	P38620	PRS2	34.76468	2	30.0545705669833	2	0	0.000317005326610872	0.0003169985447321
YHL011C	P38689	PRS3	35.12352	1	30.0545705669833	2	0	0.000317005326610882	0
YKL181W	P32895	PRS1	47.04715	2	30.0545705669833	2	0	0.000317005326610871	0.0003169985447321
YOL061W	Q12265	PRS5	53.50438	1	30.0545705669833	2	0	0.000317005326610926	0
YPR035W	P32288	GLN1	41.7656	2	20.9481474490905	2	7.9726428575591e-06	7.9728021097495e-06	7.97264285755909e-06
YFR015C	P23337	GSY1	80.50931	1	8.60287652441238	2	0	1.74965677848203e-07	0
YJL137C	P47011	GLG2	44.54552	1	8.60287652441238	2	0	1.7496567784966e-07	6.53147852212265e-08
YKR058W	P36143	GLG1	69.72308	1	8.60287652441238	2	0	1.74965677849371e-07	0
YLR258W	P27472	GSY2	80.07802	1	8.60287652441238	2	0	1.74965677849735e-07	6.53147852212265e-08
YKL085W	P17505	MDH1	35.64959	1	7.52882511670962	2	4.07431589944735e-08	0.000849812377264751	1.07749586225481e-06
YDR384C		ATO3	NaN	1	5.80197170203421	2	0	0	0
YGR121C		MEP1	NaN	1	5.80197170203421	2	0	0	0
YNL142W		MEP2	NaN	1	5.80197170203421	2	0	0	0
YPR138C		MEP3	NaN	1	5.80197170203421	2	0	0	0
YER081W	P40054	SER3	51.1927	1	2.54499467623303	2	0	1.49243872870774e-06	0
YGR208W	P42941	SER2	34.20684	2	2.54499467623303	2	5.77285620372188e-07	5.77299567582328e-07	5.77285911601716e-07
YIL074C	P40510	SER33	51.18777	2	2.54499467623303	2	0	1.49243873186776e-06	1.49240342517482e-06
YOR184W	P33330	SER1	43.41501	2	2.54499467623303	2	0.000186399953550295	0.000186404457364481	0.000186400047585501
YLL052C		AQY2	NaN	1	2.51826965627079	2	0	0	0
YPR192W		AQY1	NaN	1	2.51826965627079	2	0	0	0
YAL062W	P39708	GDH3	49.62653	1	2.3174196302454	2	0	1.31961179830482e-05	0
YOR375C	P07262	GDH1	49.56931	2	2.3174196302454	2	0	1.31961179830474e-05	1.31958521371666e-05
YKL035W	P32861	UGP1	55.98734	1	2.19087457232703	2	0	0.000540852201432639	0
YHL012W	P38709	YHL012W	55.99958	1	2.19087457232703	2	0	0.000540733042713604	3.85196092265796e-07
YLR058C	P37291	SHM2	52.21793	1	2.08563575529131	2	4.76179511371553e-05	0.000627056515983555	4.76180661791528e-05
YER053C		PIC2	NaN	1	2.00198024673662	2	0	0	0
YJR077C		MIR1	NaN	1	2.00198024673662	2	0	0	0
YML120C	P32340	NDI1	57.24915	1	1.76567683274154	2	0	3.38411478657555e-05	9.20198654223092e-07
YDR226W	P07170	ADK1	24.2546	1	1.54895142993421	2	0	5.37627485884747e-06	0
Q0105	P00163	COB	43.65549	2	1.50431639717879	2	1.60549266241445e-05	1.60549624156582e-05	1.60549581598688e-05
Q0045	P00401	COX1	58.79755	1	1.50431639717877	2	5.09313696194649e-06	0.000120909887877922	5.09314580033237e-06
Q0250	P00410	COX2	28.5669	1	1.50431639717877	2	5.09313696194649e-06	0.000120909887877922	5.09314580033237e-06
Q0275	P00420	COX3	30.35941	1	1.50431639717877	2	5.09313696194649e-06	0.000120909887877922	5.09314580033237e-06
YBL045C	P07256	COR1	50.22724	2	1.50431639717877	2	1.60549266241445e-05	1.60549624156582e-05	1.60549581598688e-05
YDL067C	P07255	COX9	6.96313	1	1.50431639717877	2	5.09313696194649e-06	0.000120909887877922	5.09314580033237e-06
YDR529C	P00128	QCR7	14.56466	2	1.50431639717877	2	1.60549266241445e-05	1.60549624156582e-05	1.60549581598688e-05
YEL024W	P08067	RIP1	23.36479	2	1.50431639717877	2	1.60549266241445e-05	1.60549624156582e-05	1.60549581598688e-05
YEL039C	P00045	CYC7	12.53211	1	1.50431639717877	2	0	7.41518297026191e-12	0
YFR033C	P00127	QCR6	17.25682	2	1.50431639717877	2	1.60549266241445e-05	1.60549624156582e-05	1.60549581598688e-05
YGL187C	P04037	COX4	17.1424	2	1.50431639717877	2	3.05390669696407e-06	5.09314715173046e-06	5.09314580033237e-06
YGL191W	P32799	COX13	15.02097	2	1.50431639717877	2	3.05390669696407e-06	5.09314715173046e-06	5.09314580033237e-06
YGR183C	P22289	QCR9	7.47622	2	1.50431639717877	2	1.60549266241445e-05	1.60549624156582e-05	1.60549581598688e-05
YHR001W-A	P37299	QCR10	8.59285	2	1.50431639717877	2	1.60549266241445e-05	1.60549624156582e-05	1.60549581598688e-05
YHR051W	P00427	COX6	17.34139	2	1.50431639717877	2	3.05390669696407e-06	5.09314715173046e-06	5.09314580033237e-06
YIL111W	P00425	COX5B	17.1965	2	1.50431639717877	2	3.05390669696407e-06	5.09314715173046e-06	5.09314580033237e-06
YJL166W	P08525	QCR8	10.97437	2	1.50431639717877	2	1.60549266241445e-05	1.60549624156582e-05	1.60549581598688e-05
YJR048W	P00044	CYC1	12.18177	1	1.50431639717877	2	0	7.41518300301594e-12	0
YLR038C	Q01519	COX12	9.78778	2	1.50431639717877	2	3.05390669696407e-06	5.09314715173046e-06	5.09314580033237e-06
YLR395C	P04039	COX8	8.90656	2	1.50431639717877	2	6.10766207145135e-06	1.0186281587918e-05	1.01862788851252e-05
YMR256C	P10174	COX7	6.9323	2	1.50431639717877	2	3.05390669696407e-06	5.09314715173046e-06	5.09314580033237e-06
YOR065W	P07143	CYT1	34.05423	2	1.50431639717877	2	1.60549266241445e-05	1.60549624156582e-05	1.60549581598688e-05
YPR191W	P07257	QCR2	40.47764	2	1.50431639717877	2	1.60549266241445e-05	1.60549624156582e-05	1.60549581598688e-05
YDR231C	Q04935	COX20	23.75778	1	1.50431639717877	2	0	0.000117856086605693	0
YGR062C	P53239	COX18	35.64994	1	1.50431639717877	2	0	0.000117856086605693	0
YHR116W	P38824	COX23	17.31758	1	1.50431639717877	2	0	0.000117856086605693	0
YJL003W	P47081	COX16	14.07686	1	1.50431639717877	2	0	0.000117856086605693	0
YLL018C-A	Q3E731	COX19	11.10542	1	1.50431639717877	2	0	0.000117856086605693	0
YPL132W	P19516	COX11	34.04384	1	1.50431639717877	2	0	0.000117856086605693	0
YBR263W	P37292	SHM1	53.68589	1	1.49250355369663	2	1.59561592454021e-05	0.000579550361069963	1.59562138540868e-05
YBL030C		PET9	NaN	1	1.44961365802198	2	0	0	0
YBR085W		AAC3	NaN	1	1.44961365802198	2	0	0	0
YMR056C		AAC1	NaN	1	1.44961365802198	2	0	0	0
YOL077W-A	P81451	ATP19	7.53367	2	1.44195789885623	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
Q0080	P00856	ATP8	5.82221	2	1.44195789885623	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
Q0085	P00854	ATP6	29.09876	2	1.44195789885623	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
Q0130	P61829	OLI1	7.75937	2	1.44195789885623	2	0.000193346706678816	0.000193349504200797	0.000193346857216371
YBL099W	P07251	ATP1	58.60746	1	1.44195789885623	2	5.94914421393971e-06	5.80049347873979e-05	5.94914884587578e-06
YBR039W	P38077	ATP3	34.35021	2	1.44195789885623	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
YDL004W	Q12165	ATP16	17.02022	2	1.44195789885623	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
YDR298C	P09457	ATP5	22.81414	2	1.44195789885623	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
YDR322C-A	P81449	TIM11	10.87534	2	1.44195789885623	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
YDR377W	Q06405	ATP17	11.312	2	1.44195789885623	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
YJR121W	P00830	ATP2	54.7932	1	1.44195789885623	2	5.94914421393971e-06	5.80049347873979e-05	5.94914884587578e-06
YKL016C	P30902	ATP7	19.80938	2	1.44195789885623	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
YML081C-A	P81450	ATP18	6.68769	2	1.44195789885623	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
YPL078C	P05626	ATP4	26.92481	2	1.44195789885623	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
YPL271W	P21306	ATP15	6.7425	2	1.44195789885623	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
YPR020W	Q12233	ATP20	12.92094	2	1.44195789885623	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
YLR295C	Q12349	ATP14	14.12765	2	1.44195789885621	2	1.93346706678821e-05	1.93349504200806e-05	1.93346857216371e-05
YDL085W	Q07500	NDE2	61.65854	1	1.42614765449662	2	0	3.00372970249406e-05	2.61189849871784e-06
YMR145C	P40215	NDE1	62.77345	1	1.42614765449662	2	0	3.00078510632599e-05	0
YLR354C	P15019	TAL1	37.0359	1	1.33180079887997	2	0	0.000820384004436471	3.4183298331218e-06
YGR043C	P53228	NQM1	37.25314	1	1.33180079887997	2	0	0.000815601257192408	0
YDR050C	P00942	TPI1	26.79508	1	1.29079300191601	2	2.99024563259398e-08	0.00112923209309655	2.99025212978779e-08
YGR240C	P16861	PFK1	107.96906	1	1.28239849593553	2	0	4.0409602884573e-07	0
YKL060C	P14540	FBA1	39.62024	1	1.28239849593553	2	0	0.000766872957479158	0
YMR205C	P16862	PFK2	104.61673	2	1.28239849593553	2	4.04078598752543e-07	7.26693123477419e-07	7.26663105027519e-07
YCR012W	P00560	PGK1	44.73787	1	1.28216707576206	2	9.68314674563352e-07	0.000677286582751939	9.68315063015588e-07
YGR192C	P00359	TDH3	35.74626	1	1.28216707576206	2	0	0.000864361065236197	0
YJL052W	P00360	TDH1	35.74956	1	1.28216707576206	2	0	0.000864281277168302	1.79205059136368e-05
YJR009C	P00358	TDH2	35.84645	1	1.28216707576206	2	0	0.000861947362810678	0
YBR196C	P12709	PGI1	61.29832	1	1.24865141617868	2	3.78641777800643e-07	0.000493982203676618	3.78644882233414e-07
YDR516C	Q04409	EMI2	55.92028	2	1.24750782066398	2	1.8617499997238e-07	2.20639684417813e-07	2.04615204766758e-07
YER141W	P40086	COX15	54.65792	0	0.145891666666667	0	0	2.3847993981e-13	2.3847993981e-13
YMR246W	P47912	FAA4	77.26612	0	0.140086686231206	0	0	0.000391688680786755	9.31554931633844e-08
YOR317W	P30624	FAA1	77.86529	0	0.140086686231206	0	0	0.000388674503001034	0
YER069W	Q01217	ARG5,6	94.86823	0	0.136621475343847	0	6.35535762674209e-07	6.4570858089472e-07	6.36443471723779e-07
YMR062C	Q04728	ARG7	47.84821	0	0.136621475343847	0	1.39464645561219e-07	0.000632495439736106	1.39663837054129e-07
YOL140W	P18544	ARG8	46.68082	0	0.136621475343847	0	1.57858627268711e-06	1.60385419946005e-06	1.58084090105461e-06
YOR130C		ORT1	NaN	0	0.136621475343847	0	0	0	0
YOR095C	Q12189	RKI1	28.25777	0	0.136021929628108	0	5.2047597840209e-07	0.00107127293399274	5.21555474110693e-07
YBL039C	P28274	URA7	64.70953	0	0.133931198022575	0	0	2.16481278758036e-08	0
YJR103W	P38627	URA8	64.50989	0	0.133931198022575	0	0	2.16481278759337e-08	1.88718006386648e-08
YLR438W	P07991	CAR2	46.08557	0	0.121128566926584	0	1.25512649584045e-08	1.29535687757147e-08	1.25871630563742e-08
YGR248W	P53315	SOL4	28.44737	0	0.120767894722516	0	0	9.09434291688667e-07	0
YGR256W	P53319	GND2	53.92235	0	0.120767894722516	0	0	2.49844463302742e-07	0
YHR163W	P38858	SOL3	27.78417	0	0.120767894722516	0	0	9.09434291669097e-07	9.09186204178565e-07
YHR183W	P38720	GND1	53.54274	0	0.120767894722516	0	0	2.49844463306306e-07	2.49776307428944e-07
YNL241C	P11412	ZWF1	57.5209	0	0.120767894722516	0	1.43185244547093e-08	1.4371568986385e-08	1.43676544328006e-08
YDR503C	Q04396	LPP1	31.58604	0	0.107871341717435	0	0	5.3915144627788e-10	4.9474106999704e-10
YDL066W	P21954	IDP1	48.18986	0	0.10514233302943	0	1.23613543628849e-07	1.25611776770952e-07	1.24412836880786e-07
YER070W	P21524	RNR1	99.56021	0	0.10166666666667	0	0	2.52988163883706e-07	0
YIL066C	P21672	RNR3	97.51369	0	0.10166666666667	0	0	2.52988163881793e-07	0
YJL026W	P09938	RNR2	46.14681	0	0.10166666666667	0	0	2.52988163881602e-07	0
YGR180C	P49723	RNR4	40.05407	0	0.0937468889995055	0	0	2.52988163884481e-07	5.4945726703002e-08
YGL080W		MPC1	NaN	0	0.0380613758303953	0	0	0	0
YGR243W		MPC3	NaN	0	0.0380613758303953	0	0	0	0
YHR162W		MPC2	NaN	0	0.0380613758303953	0	0	0	0
YBR221C	P32473	PDB1	40.0532	0	0	0	0	1.42886032853555e-07	0
YCL040W	P17709	GLK1	55.37689	0	0	0	0	1.63328283054352e-11	0
YDR148C	P19262	KGD2	50.43011	0	0	0	0	9.06932450185866e-06	0
YER178W	P16387	PDA1	46.34261	0	0	0	0	1.42886032853555e-07	0
YFR053C	P04806	HXK1	53.73784	0	0	0	0	1.63359688376203e-11	0
YGL253W	P04807	HXK2	53.9419	0	0	0	0	3.53279687078689e-11	0
YGR193C	P16451	PDX1	45.36125	0	0	0	0	1.42886032853555e-07	0
YHR002W		LEU5	NaN	0	0	0	0	0	0
YIL125W	P20967	KGD1	114.41496	0	0	0	0	9.06932450185866e-06	0
YMR267W	P28239	PPA2	35.57213	0	0	0	0	2.58234285839866e-11	0
YNL071W	P12695	LAT1	51.81762	0	0	0	0	1.42886032853555e-07	0
YOL126C	P22133	MDH2	40.7305	0	0	0	0	0.00074377308497541	0
YPL061W	P54115	ALD6	54.41344	0	0	0	0	3.81482191669442e-10	0
YLR446W	Q06204	YLR446W	48.96875	0	0	0	0	2.68026617594894e-09	0
